# word1,word2,my_score,cos_similarity,Pearsons,Spearman
demonio	angelo	1	3.5893166457073526
crittogramma	simbolo	2	2.496054149422036
campus	università	4	3.763097236449918
libertà	libertà	4	4.000000000000002
tifone	ciclone	4	3.9999999999999996
manuale	guida turistica	3	3.337968109742517
Ebola	virus Ebola	4	3.9720183628348433
principessa	biscotto	0	1.5822799686572333
treno	tram	3	3.4716529619266328
ecosistema	economia	1	1.987710720661704
regina regnante	regina degli scacchi	2	-1
oro	zinco	3	3.4027386245688724
cursore	patatine fritte	0	1.4177187922417114
Rio delle Amazzoni	foresta	1	2.4694914576506357
tennis	statistica	0	2.6416725536876045
Bolzano	teorema	0	2.28119491291585
altitudine	conversione	0	2.8016693681225635
barca	albero	1	3.711457486676939
trono	spada	1	2.356380963311025
cotone	maglione	1	2.5014156777288297
ciliegia	fragola	3	3.629212262724629
Islam	Corano	1	3.5372732018352053
Neanderthal	sport	0	2.0136833709110227
nepotismo	re	1	2.6158517513397643
personaggio	persona	2	4.000000000000003
cisterna	vagone	3	2.150919018685042
Mercurio	Giove	3	4.0
bronchite	acetaminofene	2	2.707699867224015
sangue	corpo	1	2.8506399223183787
islamofobia	ISIS	1	2.882287991406014
uncinetto	uniforme	0	2.423473140100704
Hadoop	touchscreen	1	1.850841749181195
combustibile fossile	fossile	2	1.9396387314590962
mutante	sociobiologia	1	2.7798904066904337
sorella	fratello	3	3.9999999999999982
matita	storia	0	2.7885759625857847
eczema	dermatite	1	3.88494617610006
imperatore	governatore	3	3.6000486603264648
corona	chiave	0	3.4449582243085684
algebra	operazione	2	3.345372731557398
pistone	motore	2	3.923195590470335
borsa di studio	retta	1	3.5722236409312083
libro	manoscritto	3	3.3161122379485315
lantana	bocca di leone	3	3.451331238268648
buco_nero	vuoto	1	3.6271208282979663
Impero Persiano	Ciro	1	3.122756725448994
editoriale	notizia	1	3.7276729798084407
decorazione	busta	0	2.3312297942917333
squalo balena	aragosta	2	3.2775755759545
mais	granturco	4	3.9999999999999996
